Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7004","April","%",,"1.664830","0.902076","3.194960","4.579447","2.986280","2.406266","5.126279","12.278329","3.060329","4.856853","6.999743","5.701250","4.287456","4.575893","3.552453","4.011337","1.698694","2.377415","6.126106","9.026765","5.783754","22.713591","49.452290",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7005","May","%",,"2.085655","1.367496","2.378736","5.058099","2.801875","2.865359","5.284724","12.172550","2.671231","4.671678","7.213905","5.456832","3.955033","5.261766","3.519685","3.394149","2.087164","2.384000","6.448472","7.813689","6.935926","24.617844","47.585544",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7006","June","%",,"1.872664","1.704391","1.771727","6.223982","1.759571","3.887416","5.898154","12.063608","1.789528","4.841077","8.202929","4.263588","5.100274","4.804076","3.537894","3.406197","1.825264","2.923322","6.196496","8.185890","6.875146","27.867654","44.705260",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7007","July","%",,"2.067395","1.352000","1.853171","6.620865","2.220257","3.407823","7.306702","11.395855","1.572834","5.091973","8.635101","3.632178","5.660755","4.580468","3.401914","3.347003","1.674346","3.231591","6.040399","9.458896","6.834700","29.107583","45.417832",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7008","August","%",,"2.071843","1.476330","1.741310","6.593749","1.525421","4.280525","7.953659","10.058827","2.156520","5.411484","7.970092","3.866158","5.642765","4.442285","3.645080","2.388378","2.283766","3.880286","5.735383","9.061391","8.157659","28.312668","47.734368",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7009","September","%",,"1.545181","1.960739","2.234006","6.108334","1.711884","3.832134","8.099228","9.664823","2.130002","6.647791","7.109629","3.648490","6.094498","4.150296","3.318585","2.889912","1.879464","4.771927","5.757254","8.600328","8.541625","30.431335","45.716631",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7010","October","%",,"1.803358","1.383697","3.220982","6.002137","1.282946","3.376989","8.880361","9.127129","1.639409","7.882634","6.660464","3.168045","6.311879","3.590775","3.511723","3.422252","1.538869","5.093244","7.120365","7.353280","10.013795","31.148342","44.291137",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7011","November","%",,"1.115767","2.414510","3.418912","5.184087","1.169037","3.718962","9.142420","8.343032","2.381802","8.282852","5.671587","3.638975","6.453298","3.279090","3.434154","3.721404","1.850038","4.159197","8.568402","6.398936","12.700987","29.264350","44.663975",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7012","December","%",,"0.985467","2.577850","3.789503","3.941080","2.071122","4.894331","8.822754","7.237260","3.254485","7.366630","5.962582","4.323703","5.332336","3.842992","3.501448","2.898088","2.533055","3.805868","8.849563","6.379315","14.939521","28.018637","45.599734",
"5301","'143","Central Asia","230132","Consumer Prices, Food Indices (2015 = 100), median","6125","Value","7001","January","","22.170720","26.999635","31.034259","35.407251","37.627912","39.050587","43.544341","46.643706","57.288212","65.248220","65.319610","77.343912","82.777641","87.428780","90.838237","98.239635","103.567089","111.378590","121.449131","128.676736","141.447081","158.637709","172.091610","199.374748","210.919917"
"5301","'143","Central Asia","230132","Consumer Prices, Food Indices (2015 = 100), median","6125","Value","7002","February","","22.486341","27.270347","31.748491","35.684659","37.889801","39.261136","44.605124","46.774890","58.048838","65.418279","66.180823","78.961540","82.970403","87.742386","91.921712","98.762034","104.453510","113.597018","121.851960","130.357184","142.442059","160.243361","173.634956","201.835644","212.327663"
"5301","'143","Central Asia","230132","Consumer Prices, Food Indices (2015 = 100), median","6125","Value","7003","March","","22.688495","27.565204","32.208649","36.035842","37.989981","39.706294","44.962918","47.030667","59.307023","65.731603","66.772222","80.005835","82.596592","88.001741","93.004550","99.383572","104.474637","115.733667","121.202787","131.033262","145.494610","162.771574","181.257605","204.583074","213.254171"
