Country,Year,adult_obesity,teen_obesity,child_obesity,child_stunting,Food_Price_Inflation
Mexico,2022,36.0299110413,17.6572303772,6.90000009537,12.6000003815,13.250971833333333
Micronesia (Federated States of),2022,47.100440979,20.4824295044,5.5,12.9500002861,6.457368583333333
Mongolia,2022,24.1087398529,6.44148015976,10.6999998093,6.09999990463,18.623263416666667
Montenegro,2022,17.995880127,8.73719978333,8,8.19999980927,22.530832916666668
Morocco,2022,21.7843494415,5.73315000534,4.90000009537,12.8000001907,11.241776583333333
Mozambique,2022,10.262960434,1.65657997131,5.5,36.4000015259,12.9306505
Myanmar,2022,7.42634010315,7.39335012436,0.800000011921,24.1000003815,15.418394571428571
Namibia,2022,16.9652004242,4.64537000656,5.30000019073,16.7999992371,7.6516655
Nepal,2022,6.9894900322,1.90550005436,1.70000004768,26.7000007629,6.946664916666666
Netherlands,2022,14.5418195724,4.75104999542,5.09999990463,1.60000002384,10.710086083333334
New Zealand,2022,33.6213111877,17.7842407227,5.5,12.9500002861,8.637679583333334
Nicaragua,2022,33.6272888184,12.750289917,8.69999980927,14.8999996185,15.737608250000001
Niger,2022,5.9746799469,3.69843006134,2.70000004768,47.4000015259,7.4678837499999995
Nigeria,2022,12.3562097549,3.76718997955,2.20000004768,34.2000007629,20.764592916666665
North Macedonia,2022,27.5389900208,11.3170900345,9.89999961853,3.70000004768,20.719676749999998
Norway,2022,19.146440506,6.17366981506,5.5,12.9500002861,6.541326583333333
Palestine,2022,37.5608406067,13.5408496857,8.30000019073,7.5,6.753029833333334
Oman,2022,31.0954208374,18.8462505341,6.5,12.6999998093,4.48967075
Pakistan,2022,23.0065002441,8.46782016754,2.70000004768,34,24.664450583333334
Panama,2022,36.071018219,14.2793703079,11.3999996185,13.8000001907,3.8922796666666666
Papua New Guinea,2022,20.5173606873,15.3878297806,16,51.2000007629,6.86914725
Paraguay,2022,32.9591903687,14.467209816,14.6000003815,3.40000009537,15.080874666666666
Peru,2022,27.2884292603,16.9579601288,9.39999961853,10.1000003815,13.018873166666667
Philippines,2022,8.74172973633,5.94013977051,4.59999990463,28.7999992371,4.509264666666667
Poland,2022,27.4997005463,7.14996004105,6,2.29999995232,15.378385833333333
Portugal,2022,21.7911090851,7.58876991272,8.89999961853,3.09999990463,12.958393083333334
Puerto Rico,2022,41.1338310242,21.3869991302,5.5,12.9500002861,8.922935
Qatar,2022,43.1416702271,23.8582191467,11.6999998093,4.40000009537,4.05664575
South Korea,2022,7.33054018021,13.9570302963,5.40000009537,1.70000004768,5.915005416666666
Moldova,2022,22.9702091217,4.65163993835,2.90000009537,3.90000009537,32.601581583333335
Romania,2022,34.0397109985,8.83946037292,4.5,7.69999980927,15.60392475
Russia,2022,24.1948204041,6.24464988708,7.40000009537,12.9500002861,16.138446166666668
Rwanda,2022,4.92348003387,1.60723996162,4.69999980927,29.7999992371,29.3570465
St. Kitts & Nevis,2022,45.6443901062,23.0415802002,5.5,12.9500002861,10.412614583333333
St. Lucia,2022,33.4651298523,19.2957897186,6,2.5,5.566991916666667
St. Vincent & Grenadines,2022,33.2489700317,18.5455207825,5.5,12.9500002861,10.177270916666666
Samoa,2022,62.4293899536,23.5447292328,7.90000009537,7.40000009537,15.436846333333333
São Tomé & Príncipe,2022,16.455280304,4.01220989227,4.69999980927,10,20.0680805
Saudi Arabia,2022,40.5990791321,18.1219997406,10.1000003815,12.3999996185,3.7162944166666665
